backend/Executor version : v2.45.0.2
Proclib version : v2.45.0.0
Decimation will generate files every 10 minutes
11041_697D325E_4_00000062.bin took max time to decimate :195507 microseconds
11041_697D325E_4_00000063.bin took max time to decimate :182220 microseconds
11041_697D325E_1_00000064.bin took max time to decimate :188084 microseconds
11041_697D325E_4_00000065.bin took max time to decimate :1733027 microseconds
11041_697D325E_2_00000066.bin took max time to decimate :190767 microseconds
11041_697D325E_4_00000067.bin took max time to decimate :237763 microseconds
11041_697D325E_2_00000068.bin took max time to decimate :224337 microseconds
11041_697D325E_2_00000069.bin took max time to decimate :186410 microseconds
11041_697D325E_2_0000006A.bin took max time to decimate :186225 microseconds
11041_697D325E_1_0000006B.bin took max time to decimate :184135 microseconds
11041_697D325E_3_0000006C.bin took max time to decimate :255115 microseconds
11041_697D325E_2_0000006D.bin took max time to decimate :208415 microseconds
11041_697D325E_2_0000006E.bin took max time to decimate :204054 microseconds
11041_697D325E_1_0000006F.bin took max time to decimate :1724662 microseconds
11041_697D325E_1_00000070.bin took max time to decimate :192032 microseconds
11041_697D325E_1_00000071.bin took max time to decimate :188792 microseconds
11041_697D325E_1_00000072.bin took max time to decimate :192108 microseconds
11041_697D325E_1_00000073.bin took max time to decimate :187683 microseconds
11041_697D325E_1_00000074.bin took max time to decimate :194321 microseconds
11041_697D325E_3_00000075.bin took max time to decimate :252766 microseconds
11041_697D325E_1_00000076.bin took max time to decimate :248176 microseconds
11041_697D325E_1_00000077.bin took max time to decimate :184994 microseconds
11041_697D325E_3_00000078.bin took max time to decimate :215084 microseconds
11041_697D325E_2_00000079.bin took max time to decimate :1721469 microseconds
11041_697D325E_2_0000007A.bin took max time to decimate :197557 microseconds
11041_697D325E_1_0000007B.bin took max time to decimate :212438 microseconds
11041_697D325E_1_0000007C.bin took max time to decimate :201387 microseconds
11041_697D325E_1_0000007D.bin took max time to decimate :184772 microseconds
11041_697D325E_1_0000007E.bin took max time to decimate :242121 microseconds
11041_697D325E_0_0000007F.bin took max time to decimate :250891 microseconds
11041_697D325E_1_00000080.bin took max time to decimate :181734 microseconds
11041_697D325E_1_00000081.bin took max time to decimate :214388 microseconds
11041_697D325E_4_00000082.bin took max time to decimate :218732 microseconds
11041_697D325E_3_00000083.bin took max time to decimate :1726719 microseconds
11041_697D325E_2_00000084.bin took max time to decimate :198057 microseconds
11041_697D325E_3_00000085.bin took max time to decimate :210300 microseconds
11041_697D325E_1_00000086.bin took max time to decimate :187509 microseconds
11041_697D325E_2_00000087.bin took max time to decimate :253926 microseconds
11041_697D325E_1_00000088.bin took max time to decimate :240513 microseconds
11041_697D325E_3_00000089.bin took max time to decimate :196715 microseconds
11041_697D325E_1_0000008A.bin took max time to decimate :236324 microseconds
11041_697D325E_2_0000008B.bin took max time to decimate :190095 microseconds
11041_697D325E_2_0000008C.bin took max time to decimate :182461 microseconds
11041_697D325E_3_0000008D.bin took max time to decimate :1723581 microseconds
11041_697D325E_3_0000008E.bin took max time to decimate :196695 microseconds
11041_697D325E_3_0000008F.bin took max time to decimate :185798 microseconds
11041_697D325E_2_00000090.bin took max time to decimate :255395 microseconds
11041_697D325E_2_00000091.bin took max time to decimate :254757 microseconds
11041_697D325E_1_00000092.bin took max time to decimate :184688 microseconds
11041_697D325E_1_00000093.bin took max time to decimate :193751 microseconds
11041_697D325E_4_00000094.bin took max time to decimate :191619 microseconds
11041_697D325E_3_00000095.bin took max time to decimate :210363 microseconds
